SpeciesSciName,fishbaseName,Genus,Species,Loo,K,Winfinity,tmax,tm,M,Lm,Temperature,maximum.length,Ecotype,common.name,LFI_Fung_list,DEMPEL,Order,Group,LFI_OSPAR_list
Bothus podas,Bothus podas,Bothus,podas,20.04242512,0.496242481,63.53007144,6.41227936,1.351525871,0.717111479,10.41478321,15.98537173,13,Demersal,Wide-eyed flounder,,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Brama brama,Brama brama,Brama,brama,61.63201998,0.148730762,2728.454219,18.52213236,4.685880146,0.268119685,32.25954264,15.72315652,57,Bathypelagic,Atlantic pomfret,,Demersal,Perciformes,Other,Pelagic
Brosme brosme,Brosme brosme,Brosme,brosme,78.19116066,0.128366453,6048.736294,21.15408304,7.099440785,0.224228575,49.24824989,9.074984199,90,Demersal,Tusk,Demersal,Demersal,Gadiformes,Gadiformes,Demersal
Buglossidium luteum,Buglossidium luteum,Buglossidium,luteum,12.49221035,0.534421249,19.41606259,7.366401641,1.768649692,0.688289808,8.144923808,13.20907644,21,Demersal,Solenette,Demersal,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Callanthias ruber,Callanthias ruber,Callanthias,ruber,38.5911169,0.352035021,627.0822865,9.393363702,2.283093115,0.582582066,21.37318379,19.62415505,20,Demersal,Parrot seaperch,,Demersal,Perciformes,Other,Demersal
Callionymus lyra,Callionymus lyra,Callionymus,lyra,22.25679915,0.480664568,57.36141807,5.571310114,1.720444219,0.872103515,13.80787029,13.52200465,38,Demersal,Dragonet,Demersal,Demersal,Perciformes,Other,Demersal
Callionymus maculatus,Callionymus maculatus,Callionymus,maculatus,25.87748118,0.457189121,120.2239125,5.997846346,1.755779591,0.8699594,15.155596,17.34321675,22,Demersal,Spotted dragonet,Demersal,Demersal,Perciformes,Other,Demersal
Callionymus reticulatus,Callionymus reticulatus,Callionymus,reticulatus,25.87748118,0.457189121,120.2239125,5.997846346,1.755779591,0.8699594,15.155596,17.34321675,15,Demersal,Reticulated dragonet,Demersal,Demersal,Perciformes,Other,Demersal
Callionymus risso,Callionymus risso,Callionymus,risso,25.87748118,0.457189121,120.2239125,5.997846346,1.755779591,0.8699594,15.155596,17.34321675,12,Demersal,Rissos dragonet,,Demersal,Perciformes,Other,Demersal
Capros aper,Capros aper,Capros,aper,14.13465005,0.272552542,44.33213846,12.20273814,2.863401364,0.500107313,8.500199882,17.26781819,20,Demersal,Boarfish,Demersal,Demersal,Perciformes,Other,Demersal
Caranx rhonchus,Caranx rhonchus,Caranx,rhonchus,48.24335588,0.261358293,2033.996511,8.655837603,2.600072289,0.78482355,23.17869055,22.96499602,39,Benthopelagic,False scad,,Demersal,Perciformes,Other,Demersal
Carapus acus,Carapus acus,Carapus,acus,36.85534903,0.320891841,379.1763846,8.735381807,2.527357386,0.556622362,20.81994326,14.82918514,22,Demersal,Pearl fish,,Demersal,Ophidiiformes,Other,Demersal
Cataetyx alleni,Cataetyx alleni,Cataetyx,alleni,11.78659579,0.718720078,12.90472706,4.25656475,1.196215222,1.218250023,7.507032538,14.38516551,16,Bathydemersal,Pearl fish,,Demersal,Ophidiiformes,Other,Demersal
Centrolabrus exoletus,Centrolabrus exoletus,Centrolabrus,exoletus,13.92255733,0.589096869,23.18008836,6.243522448,1.464095274,0.885532729,8.584258045,13.17460159,19,Demersal,Rock cook,,Demersal,Perciformes,Other,Demersal
Centrolophus niger,Centrolophus niger,Centrolophus,niger,47.32702481,0.284706775,1346.301138,10.7038666,2.704565078,0.476574167,26.12145673,15.87581815,94,Bathypelagic,Rudderfish,,Demersal,Perciformes,Other,Pelagic
Centrophorus granulosus,Centrophorus granulosus,Centrophorus,granulosus,123.2120879,0.067168203,11634.9398,39.04333406,18.93804776,0.116013177,85.81938944,11.55938933,109,Bathydemersal,Gulper shark,,Demersal,Squaliformes,Elasmobranchii,Demersal
Centrophorus squamosus,Centrophorus squamosus,Centrophorus,squamosus,127.6639436,0.056511598,13443.44374,44.22444395,21.65378362,0.100626637,88.04289803,10.98465581,112,Bathydemersal,Leafscale gulper shark,,Demersal,Squaliformes,Elasmobranchii,Demersal
Centroscyllium fabricii,Centroscyllium fabricii,Centroscyllium,fabricii,100.6248002,0.078416063,6399.761966,34.4982597,16.78723091,0.137569126,70.28976663,12.33773832,19,Bathydemersal,Black dogfish,,Demersal,Squaliformes,Elasmobranchii,Demersal
Centroscymnus crepidater,Centroscymnus crepidater,Centroscymnus,crepidater,117.9278776,0.09035523,9217.171365,28.98686186,13.3969301,0.155743659,78.29739416,13.21646287,77,Bathydemersal,Longnose velvet dogfish,,Demersal,Squaliformes,Elasmobranchii,Demersal
Cepola macrophthalma,Cepola macrophthalma,Cepola,macrophthalma,62.14295311,0.265396042,75.14735348,6.767372634,1.808519177,0.650494084,23.72069935,14.77918142,78,Demersal,Red bandfish,,Demersal,Perciformes,Other,Demersal
Ceratoscopelus maderensis,Ceratoscopelus maderensis,Ceratoscopelus,maderensis,9.461291883,0.657286867,8.326966067,3.568326793,1.11430565,1.49470543,5.712577048,15.12030665,9,Bathypelagic,Madeira lantern fish,,Demersal,Myctophiformes,Other,Pelagic
Chauliodus sloani,Chauliodus sloani,Chauliodus,sloani,23.435558,0.394858937,84.59194989,6.880316806,1.980987376,0.607476237,14.40470072,6.012167073,40,Bathypelagic,Sloanes viperfish,,Demersal,Stomiiformes,Other,Pelagic
Chaunax pictus,Chaunax pictus,Chaunax,pictus,36.62868884,0.251170486,444.9735731,8.720848598,2.523402711,0.46840192,18.97942779,12.27751904,31,Bathydemersal,Pink frogmouth,,Demersal,Lophiiformes,Other,Demersal
Chelidonichthys cuculus,Chelidonichthys cuculus,Chelidonichthys,cuculus,34.43429397,0.36571362,469.9125554,12.73050168,4.362120097,0.494462856,22.82301562,14.45397362,54,Demersal,Red gurnard,Demersal,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Chelidonichthys lucerna,Chelidonichthys lucerna,Chelidonichthys,lucerna,47.77369146,0.312170358,1027.9872,10.8382158,2.953905009,0.46082566,24.43069959,12.71860867,81,Demersal,Tub gurnard,Demersal,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Chelidonichthys obscurus,Chelidonichthys obscurus,Chelidonichthys,obscurus,41.79065865,0.31885333,751.3953394,11.60044261,3.544801809,0.462154476,24.13362935,13.99199411,35,Demersal,Longfin gurnard,,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Chelon labrosus,Chelon labrosus,Chelon,labrosus,48.26400383,0.203020953,1518.720398,14.61364066,3.671109895,0.359298019,25.24590437,16.36482508,64,Demersal,Thick-lipped mullet,,Demersal,Perciformes,Other,Demersal
Chiasmodon,Oreochromis niloticus,Oreochromis,niloticus,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,18,Bathydemersal,Snaketooth,,Demersal,Perciformes,Other,Demersal
Chimaera monstrosa,Chimaera monstrosa,Chimaera,monstrosa,122.7613683,0.108911018,14349.36984,22.97087449,8.137945107,0.193553977,69.29215234,13.01224173,141,Bathydemersal,Rabbit ratfish,Demersal,Demersal,Chimaeriformes,Other,Demersal
Chimaera opalescens,Chimaera opalescens,Chimaera,opalescens,109.9687505,0.128143318,10163.9795,20.18656998,7.097941278,0.223844357,62.9536773,13.44070894,79,Bathydemersal,Opal chimaera,,Demersal,Chimaeriformes,Other,Demersal
Chirolophis ascanii,Chirolophis ascanii,Chirolophis,ascanii,35.79711058,0.241145487,512.7654797,12.27154095,3.058738898,0.419592757,20.04163933,14.76994279,19,Benthopelagic,Yarrell's blenny,,Demersal,Perciformes,Other,Demersal
Chirostomias pliopterus,Chirostomias pliopterus,Chirostomias,pliopterus,23.53975671,0.423800313,85.86945688,6.273550591,1.825042802,0.668768087,14.26973939,7.239542332,17,Bathypelagic,Dragonfish,,Demersal,Stomiiformes,Other,Pelagic
Chlorophthalmus agassizi,Chlorophthalmus agassizi,Chlorophthalmus,agassizi,19.01238306,0.356278234,53.06493165,6.616047874,2.06784741,0.668311081,11.42822338,12.15552967,23,Bathydemersal,Shortnose greeneye,,Demersal,Aulopiformes,Other,Demersal
Ciliata mustela,Ciliata mustela,Ciliata,mustela,64.86583329,0.182923214,2438.248912,14.93730728,4.690609754,0.327166609,38.65745916,10.22968212,27,Demersal,Five-bearded rockling,Demersal,Demersal,Gadiformes,Gadiformes,Demersal
Ciliata septentrionalis,Ciliata septentrionalis,Ciliata,septentrionalis,64.86583329,0.182923214,2438.248912,14.93730728,4.690609754,0.327166609,38.65745916,10.22968212,21,Demersal,Northern rockling,Demersal,Demersal,Gadiformes,Gadiformes,Demersal
Citharus linguatula,Citharus linguatula,Citharus,linguatula,26.99481045,0.279632947,142.2378573,9.608357356,2.198089523,0.455068621,13.50245348,14.60886651,28,Demersal,Spotted flounder,,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Clupea harengus,Clupea harengus,Clupea,harengus,30.31273752,0.334292555,212.2151581,12.4112763,4.065925708,0.250360617,25.28598804,8.334075249,61,Benthopelagic,Herring,,Pelagic,Clupeiformes,Other,Pelagic
Coccorella atlantica,Coccorella atlantica,Coccorella,atlantica,27.17661408,0.475866297,125.3380264,5.343569852,1.589056246,0.829217188,15.37901684,13.99764562,11,Bathypelagic,Atlantic sabretooth,,Demersal,Aulopiformes,Other,Pelagic
Coelorinchus caelorhincus,Coelorinchus caelorhincus,Coelorinchus,caelorhincus,28.42206451,0.140320582,185.9642859,20.96509721,6.067510018,0.264883862,17.47244567,13.58816334,51,Benthopelagic,Hollow snout grenadier,,Demersal,Gadiformes,Gadiformes,Demersal
Coelorinchus labiatus,Coelorinchus labiatus,Coelorinchus,labiatus,26.48776394,0.261192898,125.5828994,13.6217782,3.802936753,0.431556082,16.93835976,14.77419664,17,Bathydemersal,Spearsnouted grenadier,,Demersal,Gadiformes,Gadiformes,Demersal
Conger conger,Conger conger,Conger,conger,74.47421754,0.103916326,6006.481081,19.19195944,6.27014752,0.225205038,38.59707055,10.8583271,265,Demersal,Conger eel,Demersal,Demersal,Anguilliformes,Other,Demersal
Coryphaenoides rupestris,Coryphaenoides rupestris,Coryphaenoides,rupestris,84.20514924,0.09499509,1574.281678,44.88072837,11.1022133,0.128474174,49.69870632,9.193796475,121,Bathypelagic,Roundnose grenadier,,Demersal,Gadiformes,Gadiformes,Pelagic
Coryphoblennius galerita,Coryphoblennius galerita,Coryphoblennius,galerita,22.19161745,0.437777677,118.7950183,6.880851865,1.670471947,0.805042599,12.32909972,19.04251131,8,Demersal,Montagu's blenny,,Demersal,Perciformes,Other,Demersal
Cottunculus microps,Cottunculus microps,Cottunculus,microps,34.13746249,0.19039268,394.4267727,13.52159787,4.147712667,0.315604428,19.94147234,8.244209215,29,Bathydemersal,Polar sculpin,,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Ctenolabrus rupestris,Ctenolabrus rupestris,Ctenolabrus,rupestris,17.55364659,0.343340208,69.61647827,8.084294323,2.087670845,0.637730867,10.11099916,12.67281821,25,Demersal,Goldsinny wrasse,,Demersal,Perciformes,Other,Demersal
Cubiceps gracilis,Cubiceps gracilis,Cubiceps,gracilis,26.54165388,0.612074349,194.0464705,6.052763512,1.433978792,0.955284874,15.4226301,21.08152721,9,Pelagic,Driftfish,,Pelagic,Perciformes,Other,Pelagic
Cyclopterus lumpus,Cyclopterus lumpus,Cyclopterus,lumpus,52.53005924,0.170769938,1248.865711,15.81412788,4.834989158,0.264141148,30.12496263,6.73552681,54,Benthopelagic,Lumpsucker,Demersal,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Cyclothone,Oreochromis niloticus,Oreochromis,niloticus,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,4,Bathydemersal,bristlemouths,,Demersal,Scorpaeniformes,Scorpaeniformes,Demersal
Cyttopsis rosea,Cyttopsis rosea,Cyttopsis,rosea,40.31205458,0.215699346,818.0221528,12.80087106,3.929325352,0.372005571,24.19528993,14.27300475,29,Bathypelagic,Rosy dory,,Pelagic,Zeiformes,Other,Pelagic
Dalatias licha,Dalatias licha,Dalatias,licha,117.9278776,0.09035523,9217.171365,28.98686186,13.3969301,0.155743659,78.29739416,13.21646287,140,Bathydemersal,Kitefin shark,,Demersal,Squaliformes,Elasmobranchii,Demersal
Dalophis imberbis,Dalophis imberbis,Dalophis,imberbis,77.87399589,0.19423903,2444.145456,12.65965961,3.797484119,0.327247226,40.73600418,9.805428495,61,Demersal,Armless snake eel,,Demersal,Anguilliformes,Other,Demersal
Dasyatis pastinaca,Dasyatis pastinaca,Dasyatis,pastinaca,150.1496891,0.089079767,6438.660144,9.00528005,3.223095118,0.293033387,46.9081675,20.32867927,122,Demersal,Common stingray,,Demersal,Myliobatiformes,Elasmobranchii,Demersal
Deania calcea,Deania calcea,Deania,calcea,112.6295355,0.088047152,9002.541455,37.98926277,19.36431385,0.131121235,90.72293661,11.11890984,118,Bathydemersal,Birdbeak dogfish,,Demersal,Squaliformes,Elasmobranchii,Demersal
Deania profundorum,Deania profundorum,Deania,profundorum,115.7298355,0.083840255,9521.194529,36.18646327,17.9089188,0.132430298,87.11577518,11.62651635,109,Bathydemersal,Arrowhead dogfish,,Demersal,Squaliformes,Elasmobranchii,Demersal
Dentex canariensis,Dentex canariensis,Dentex,canariensis,79.19848015,0.147778668,6565.288422,16.08939437,4.036340929,0.307561239,36.2872886,17.10196454,31,Demersal,Canary dentex,,Demersal,Perciformes,Other,Demersal
Dentex dentex,Dentex dentex,Dentex,dentex,85.63802691,0.107364307,8632.058871,21.12767446,5.554843338,0.23558122,39.47866792,18.29398756,49,Benthopelagic,Common dentex,,Demersal,Perciformes,Other,Demersal
Dentex gibbosus,Dentex gibbosus,Dentex,gibbosus,93.87990803,0.143728324,12780.82822,15.39031305,3.645928622,0.315401417,39.21163492,18.6438835,94,Benthopelagic,Pink dentex,,Demersal,Perciformes,Other,Demersal
Dentex macrophthalmus,Dentex macrophthalmus,Dentex,macrophthalmus,44.65237899,0.187514049,1694.774412,12.71137718,3.160654537,0.405278732,21.61587709,17.72880152,19,Benthopelagic,Large-eye dentex,,Demersal,Perciformes,Other,Demersal
Dentex maroccanus,Dentex maroccanus,Dentex,maroccanus,35.7243923,0.196691042,804.9921046,11.16720019,2.890880187,0.469586836,17.26818639,17.64035341,30,Demersal,Morocco dentex,,Demersal,Perciformes,Other,Demersal
Diaphus,Oreochromis niloticus,Oreochromis,niloticus,24.97865234,2.028049158,411.0415687,5.878644224,1.137615738,1.627238776,20.98252884,25.3208835,13,Bathypelagic,Lanternfishes,,Pelagic,Myctophiformes,Other,Pelagic
Diaphus adenomus,Diaphus adenomus,Diaphus,adenomus,8.522919982,1.055517712,5.676634667,2.26028603,0.704674875,2.351436813,5.084142499,18.60324109,8,Bathypelagic,Gilbert's large lantern fish,,Demersal,Myctophiformes,Other,Pelagic
Diaphus dumerilii,Diaphus dumerilii,Diaphus,dumerilii,7.677615902,1.695024952,3.869858588,1.43173348,0.445628791,3.699227268,4.52484137,22.08617552,11,Pelagic,lantern fish,,Pelagic,Myctophiformes,Other,Pelagic
Diaphus holti,Diaphus holti,Diaphus,holti,8.522919982,1.055517712,5.676634667,2.26028603,0.704674875,2.351436813,5.084142499,18.60324109,9,Bathypelagic,Small lantern fish,,Demersal,Myctophiformes,Other,Pelagic
Diaphus rafinesquii,Diaphus rafinesquii,Diaphus,rafinesquii,8.522919982,1.055517712,5.676634667,2.26028603,0.704674875,2.351436813,5.084142499,18.60324109,7,Bathypelagic,White-spotted lantern fish,,Demersal,Myctophiformes,Other,Pelagic
Dicentrarchus labrax,Dicentrarchus labrax,Dicentrarchus,labrax,74.33149461,0.174287102,4727.528877,7.765729595,1.666954741,0.182475253,31.27497722,17.34008854,87,Demersal,Bass,,Demersal,Perciformes,Other,Demersal
Dicentrarchus punctatus,Dicentrarchus punctatus,Dicentrarchus,punctatus,59.70691099,0.157742853,2599.666978,10.58135753,2.361505715,0.209720101,26.54288035,19.68937808,47,Benthopelagic,Spotted seabass,,Pelagic,Perciformes,Other,Demersal
Dicologlossa cuneata,Dicologlossa cuneata,Dicologlossa,cuneata,26.65919279,0.290669838,156.1822035,13.00161194,3.05199575,0.377447253,16.78132129,13.6854193,29,Demersal,Wedge sole,,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
Dicologlossa hexophthalma,Dicologlossa hexophthalma,Dicologlossa,hexophthalma,27.31188718,0.30973211,182.8483289,12.22999081,2.713236955,0.390345553,16.63609927,14.15952229,11,Demersal,Ocellated wedge sole,,Demersal,Pleuronectiformes,Pleuronectiformes,Demersal
