Species,TL,SE,analysis,source,,,,,
Anarhichas spp,3.6,0.01,,,,,,,
Anemona,2.5,0.35,,,,,,,
Anemonia sulcata,2.34,0.35,,,,,,,
Anguiliforme,3.5,0.35,,,,,,,
Anguilla anguilla,3.47,0.77,FB/SLB,www.fishbase.org,,,,,
Anguilla spp,3.47,0.77,FB/SLB,www.fishbase.org,,,,,
Anilocra physoides,0,0,parasite,,,,,,
Anomura,2.5,0.35,,,,,,,
Anotopterus pharao,4.3,0.76,fishbase,,,,,,
Anseropoda membranacea,2.2,0.35,labtroph,accepted name in Anseropoda placenta,,,,,
Anseropoda placenta,2.2,0.35,labtroph,,,,,,
Anthozoa ,2.5,0.35,labtroph,,,,,,
Anthuridae,2.34,0.35,,,,,,,
Aperiovula adriatica,2.37,0.35,labtroph,,,,,,
Aphanopus carbo,4.2,0.04,Local IA,Chouvelon et al. 2012,,,,,
Aphia minuta,3.1,0.28,FB/SLB,www.fishbase.org,,,,,
Aphrodita aculeata,2.061,0.35,labtroph,,,,,,
Aphrodite aculeata,2.061,0.35,labtroph,accepted name is Aphrodita aculeata,,,,,
Aphroditidae ,2.061,0.35,labtroph,,,,,,
Apodes ,3.2,0.35,?,,,,,,
Apogon imberbis,3.8,0.56,,,,,,,
Aporrhais pespelicani,2.37,0.35,labtroph,,,,,,
Aporrhais serresianus,2.37,0.35,labtroph,,,,,,
Arabella iricolor,2.061,0.35,labtroph,,,,,,
Arculfia spp,2.285,0.35,,,,,,,
Arenicola marina,2.061,0.35,,,,,,,
Argentina silus,3.6,0.04,Local IA,Chouvelon et al. 2012,"3.63, Lassalle et al., 2014",,,,
Argentina sphyraena,3.8,0.09,Local IA,Chouvelon et al. 2012,"3.84 Lassalle et al., 2014",,,,
Argentina spp,3.7,0.09,Local IA,Chouvelon et al. 2012,,,,,
Argissa hamatipes,2.285,0.35,labtroph,,,,,,
Argobuccinum olearium,2.37,0.35,labtroph,,,,,,
Argyropelecus hemigymnus,3.1,0.14,FB/SLB,www.fishbase.org,,,,,
Argyropelecus olfersii,3.4,0.41,FB/SLB,www.fishbase.org,,,,,
Argyropelecus spp,3.1,0.14,,,,,,,
Argyrosomus regius,4.3,0.75,FB/SLB,www.fishbase.org,,,,,
Aristaeomorpha foliacea,3.77,0.66,FB/SLB,www.sealifebase.org,,,,,
Aristomorpha foliacea,3.77,0.66,,,,,,,
Aristeidae,3.3,0.47,,,,,,,
Aristeus antennatus,3.3,0.47,,,,,,,
Aristeus antenatus,3.3,0.47,,,,,,,
Armina maculata,2.6,0.35,labtroph,,,,,,
Arminia tigrina,2.6,0.35,labtroph,,,,,,
Arnoglossus imperialis,3.8,0.6,FB/SLB,www.fishbase.org,"3 LeLoch' et al., 2008",,,,
Arnoglossus laterna,3.6,0.3,FB/SLB,www.fishbase.org,"3 LeLoc'h et al., 2008",,,,
Arnoglossus spp,3.6,0.5,,,,,,,
Arnoglossus thori,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Arrhis mediterraneus,2.285,0.35,,,,,,,
Ascophyllum nodosum,1,0.01,,,,,,,
Aspitrigla cuculus,3.86,0.02,Local SC,IEO analysis from Isaskun Preciado,,,,,
Astacilla longicornis,2.285,0.35,,,,,,,
Astarte sulcata,2.1,0.35,labtroph,,,,,,
Asteroidea ,2.2,0.35,labtroph,,,,,,
Asteronys loveni,2.2,0.35,labtroph,,,,,,
Asteronyx loveni,2.2,0.35,labtroph,,,,,,
Astropecten irregularis,2.2,0.35,labtroph,,,,,,
Atelecyclus rotundatus,2.8,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Atelecyclus undecimdentatus,2.5,0.35,labtroph,,,,,,
Atherina boyeri,3.2,0.36,FB/SLB,,,,,,
Atherina presbyter,4.2,0.04,Local IA,Chouvelon et al. 2012,,,,,
Atherina spp,3.7,0.43,,,,,,,
Atherinidae,3.53,0.36,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Atrina fragilis,2.1,0.35,labtroph,,,,,,
Atrina pectinata,2.1,0.35,labtroph,,,,,,
Auxis rochei,4.3,0.67,FB/SLB,www.fishbase.org,,,,,
Auxis thazard,4.4,0.4,FB/SLB,www.fishbase.org,,,,,
"Auxis thazard, A. rochei",4.35,0.67,FB/SLB,www.fishbase.org,,,,,
Balistes capriscus,3.6,0.5,FB/SLB,www.fishbase.org,,,,,
Balistes carolinensis,4.1,0.2,FB/SLB,www.fishbase.org,,,,,
Balistidae,3.85,0.35,FB/SLB,www.fishbase.org,mean,,,,
Bathymedon spp,2.285,0.35,labtroph,,,,,,
Bathynectes maravigna,2.5,0.35,labtroph,,,,,,
Bathypathes patula,2.34,0.35,labtroph,,,,,,
Bathypolipus arcticus,3.5,0.35,labtroph,,,,,,
Bathypolypus arcticus,3.5,0.35,labtroph,,,,,,
Bathypolipus spp,3.5,0.35,labtroph,,,,,,
Bathypolipus sponsalis,3.65,0.56,FB/SLB,www.sealifebase.org,,,,,
Bathypolypus sponsalis,3.65,0.56,FB/SLB,www.sealifebase.org,,,,,
Bathyraja spp,4,0.7,,,,,,,
Bathysolea profundicola,3.2,0.4,FB/SLB,www.fishbase.org,,,,,
Batrachoides spp,4,0.64,FB/SLB,,,,,,
Belone belone,4.2,0.7,FB/SLB,www.fishbase.org,,,,,
Berycidae,4.15,0.2,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Beryx decadactylus,4,0.08,Local IA,Chouvelon et al. 2012,,,,,
Beryx splendens,4.3,0.2,FB/SLB,www.fishbase.org,,,,,
Beryx spp,4.15,0.2,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Bivalvia,2.1,0.35,,,,,,,
Blenniidae,3.5,0.43,,,,,,,
Blennius ocellaris,3.5,0.43,FB/SLB,www.fishbase.org,3.454640625,,,,
Bolinus brandaris,3.23,0.45,FB/SLB,www.sealifebase.org,,,,,
Bonnierella abyssorum,2.285,0.35,labtroph,,,,,,
Boops boops,4,0.18,Local IA,Chouvelon et al. 2012,"3.98, Lassalle et al., 2014",,,,
Bothidae,3.7,0.6,FB/SLB,www.fishbase.org,,,,,
Bothus podas,3.4,0.4,FB/SLB,,,,,,
Brachyura,2.5,0.35,,,,,,,
Brama brama,4.1,0.64,FB/SLB,www.fishbase.org,,,,,
Brama spp,4.1,0.64,,,,,,,
Brisingella coronata,2.2,0.35,labtroph,,accepted name: Hymenodicus coronata,,,,
Brissopsis lyrifera,2,0.35,labtroph,,,,,,
Brosme brosme,4,0.4,FB/SLB,www.fishbase.org,,,,,
Bruzelia typica,2.285,0.35,labtroph,,,,,,
Buccinum humphreysianum,2.37,0.35,labtroph,,,,,,
Buccinum undatum,2.2,0.09,Local IA,Chouvelon et al. 2012,,,,,
Buenia jeffreysii,3.6,0.54,FB/SLB,www.fishbase.org,,,,,
Buglossidium luteum,3.3,0.42,FB/SLB,www.fishbase.org,,,,,
Calanoida,2,0.35,labtroph,,,,,,
Calappa granulata,2.5,0.35,,,,,,,
Callanthias ruber,3.8,0.59,FB/SLB,www.fishbase.org,,,,,
Calliactis parasitica,2.34,0.35,labtroph,,,,,,
Caliopsis parasitica,0,0,parasite,,,,,,
Callianassa spp,2.2,0.35,,,,,,,
Callianassa tyrrhena,2,0.01,sealifebase,,,,,,
Callionymus lyra,3.44,0.02,Local SC,IEO analysis from Isaskun Preciado,"3.54, Lassalle et al., 2014",,,,
Callionymus maculatus,3.3,0.4,FB/SLB,www.fishbase.org,"3 (LeLoc'h et al., 2008)",,,,
Callionymus reticulatus,3.3,0.39,FB/SLB,www.fishbase.org,,,,,
Callionymus spp,3.3,0.35,,,,,,,
Calliostoma granulatum,3,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Callista chione,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Calocaris maecandrae,2.5,0.35,labtroph,,,,,,
Calocaris macandreae,2.5,0.35,labtroph,,,,,,
Calyptoconcha pellucida,2.37,0.35,labtroph,,,,,,
Campogramma glaycos,4.5,0.8,,,,,,,
Cancer bellianus,2.6,0.35,,,,,,,
Cancer pagurus,2.9,0.06,Local IA,Chouvelon et al. 2012,,,,,
Caprellidae,2.285,0.35,labtroph,,,,,,
Caproidae,2.94,0.03,Non local IA,Pinnegar et al. 2002,,,,,
Capros aper,2.94,0.03,Non local IA,Pinnegar et al. 2002,,,,,
Carangidae,4.14,0.8,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Carangolia barnardi,2.285,0.35,labtroph,,,,,,
Caranx hippos,3.6,0.4,,,,,,,
Caranx rhonchus,3.6,0.59,,,,,,,
Carapidae,3.7,0.35,,,,,,,
Carcharhinidae,4.5,0.01,,,,,,,
Carcharhinus brachyurus,4.5,0.01,,,,,,,
Carcharias taurus,4.5,0.4,,,,,,,
Carcinus maenas,3.5,0.53,FB/SLB,www.sealifebase.org,,,,,
Cardiidae,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Cardioidea,2.1,0.35,labtroph,,,,,,
Cardium spp,2.1,0.35,labtroph,,,,,,
Caridea,2.6,0.35,labtroph,,,,,,
Caryophyllia smithii,2.34,0.35,labtroph,,,,,,
Cavolinia inflexa,2.4,0.35,labtroph,,,,,,
Cavolinia spp,2.4,0.35,labtroph,,,,,,
Centrolophidae,3.9,0.38,,,,,,,
Centrolophus niger,3.9,0.38,,,,,,,
Centrophorus granulosus,4.1,0.4,,,,,,,
Centrophorus squamosus,4.2,0.6,FB/SLB,www.fishbase.org,,,,,
Centroscymnus coelolepis,4.5,0.1,FB/SLB,www.fishbase.org,,,,,
Centroscymnus crepidater,4.2,0.4,,,,,,,
Cephalopoda,3.5,0.35,,,,,,,
Cepola macrophthalma,4.1,0.04,Local IA,Chouvelon et al. 2012,,,,,
Cepola rubescens,3.1,0.23,fishbase,,,,,,
Cerastoderma edule,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Cerastoderma spp,2,0.35,labtroph,,,,,,
Ceratoscopelus maderensis,3.1,0.21,FB/SLB,www.fishbase.org,,,,,
Cetorhinus maximus,3.2,0.3,FB/SLB,www.fishbase.org,,,,,
Chaceon affinis,3.23,0.35,Local modelling,Lassalle et al. 2011,,,,,
Chaceon quinquedens,3.23,0.35,Local modelling,Lassalle et al. 2011,,,,,
Chaceon spp,3.09,0.35,,,,,,,
Chaetaster longipes,2.2,0.35,labtroph,,,,,,
Charonia rubicunda,2.37,0.35,labtroph,,,,,,
Chaetognata,2.4,0.35,,,,,,,
Chamelea gallina,2.1,0.35,,,,,,,
Charonia lampas,2.37,0.35,,,,,,,
Charonia lampax,2.37,0.35,,,,,,,
Chaunax pictus,4.3,0.3,FB/SLB,www.fishbase.org,,,,,
Chelidonichthys cuculus,3.86,0.02,Local SC,IEO analysis from Isaskun Preciado,,,,,
Chelidonichthys gurnardus,3.9,0.02,Local IA,Chouvelon et al. 2012,,,,,
Chelidonichthys lastoviza,3.4,0.5,FB/SLB,www.fishbase.org,,,,,
Chelidonichthys lucerna,3.92,0.21,Local SC,IEO analysis from Isaskun Preciado,,,,,
Chelidonichthys lucerna (? 20 cm),3.77,0.06,Local SC,IEO Analysis ,,,,,
Chelidonichthys lucerna (? 21 ?39 cm),3.95,0.04,Local SC,IEO Analysis ,,,,,
Chelidonichthys lucerna (?40 cm),3.85,0.07,Local SC,IEO Analysis ,,,,,
Chelidonichthys lucernus,3.92,0.21,Local SC,IEO analysis from Isaskun Preciado,,,,,
Chelidonichthys obscurus,3.55,0.04,Local SC,IEO analysis from Isaskun Preciado,,,,,
Chelidonichthys spp,3.5,0.5,,,,,,,
Chelidonichtys cuculus (?17 cm),3.77,0.03,Local SC,IEO Analysis ,,,,,
Chelidonichtys cuculus (?18 ?32 cm),3.89,0.02,Local SC,IEO Analysis ,,,,,
Chelidonychtys cuculus (?33 cm),3.98,0.06,Local SC,IEO Analysis ,,,,,
Chelon labrosus,2.6,0.32,FB/SLB,www.fishbase.org,,,,,
Chelophyes appendiculata,3,0.35,labtroph,,,,,,
Chimaera monstrosa,4.1,0.08,Local IA,Chouvelon et al. 2012,,,,,
Chlamys islandica,2,0.35,,,,,,,
Chlamys varia,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Chloeia venusta,2.061,0.35,labtroph,,,,,,
Chlorophthalmus agassizii,3.7,0.01,FB/SLB,www.fishbase.org,,,,,
Chlorophthalmus agassizi,3.7,0.01,FB/SLB,www.fishbase.org,,,,,
Chlorophyceae,1,0.01,,,,,,,
Chlorotocus crassicornis,2.7,0.35,,,,,,,
Chondrichthyes,4,0.35,,,,,,,
Chondrus crispus,1,0.01,,,,,,,
Chromis chromis,3,0.2,FB/SLB,www.fishbase.org,,,,,
Cidaris cidaris,2,0.35,labtroph,,,,,,
Circomphalus casinus,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Cirolanidae,2.285,0.35,labtroph,,,,,,
Citharus linguatula,4,0.65,FB/SLB,www.fishbase.org,,,,,
Clio pyramidata,2.4,0.35,,,,,,,
Clupea harengus,3.79,0.04,Non local IA,Pinnegar et al. 2002,,,,,
Clupeidae,3.68,0.6,FB/SLB & Local IA & Non local IA,www.fishbase.org & Chouvelon et al. 2012 & Pinnegar et al. 2002,,,,,
Clupeoidei,3.79,0.04,,,,,,,
Cnidaria,2.34,0.35,,,,,,,
Codium tomentosum,1,0.01,,,,,,,
Coelorinchus caelorhincus,3.5,0.2,FB/SLB,www.fishbase.org,,,,,
Coelorhynchus coelorhynchus,3.5,0.2,,,,,,,
Colus gracilis,2.37,0.35,labtroph,,,,,,
Colus spp,2.37,0.35,labtroph,,,,,,
Colus sp.,2.37,0.35,labtroph,,,,,,
Comarmondia gracilis,2.37,0.35,labtroph,,,,,,
Conger conger,4.25,0.02,Local SC,IEO analysis from Isaskun Preciado,,,,,
Congridae,4.25,0.02,,,,,,,
Copepoda,2,0.35,,,,,,,
Corallium rubrum,2.34,0.35,Local modelling,Lassalle et al. 2011,,,,,
Corallium spp,2.34,0.35,,,,,,,
Corella parallelogramma,2,0.35,labtroph,,,,,,
Coris julis, 3.2,0.5,,,,,,,
Coristes cassivelanus,2.5,0.35,labtroph,,,,,,
Corystes cassivelaunus,2.5,0.35,labtroph,,,,,,
Corophiidea,2.285,0.35,,,,,,,
Coryphaena hippurus,4.4,0.01,,,,,,,
Coryphaenoides rupestris,4.1,0.15,Local IA,Chouvelon et al. 2012,,,,,
Crangon crangon,2.9,0.09,Local IA,Chouvelon et al. 2012,,,,,
Crangonidae,2.95,0.09,Local IA,Chouvelon et al. 2012,,,,,
Crassostrea gigas,2,0.01,,,,,,,
Crassostrea spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Crassostrea sp.,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Crassostrea virginica,2,0.35,local modelling,Lassalle et al. 2011,,,,,
Crepidula fornicata,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Crinoidea,2.4,0.35,,,,,,,
Crustacea,2.5,0.35,,,,,,,
Crystallogobius linearis,3.4,0.45,fishbase,,,,,,
Ctenolabrus rupestris,3.4,0.5,FB/SLB,www.fishbase.org,,,,,
Cumacea,2.5,0.35,,,,,,,
Cyclothone spp,3.6,0.53,fishbase,,,,,,
Cymbulia peronii,2.4,0.35,labtroph,,,,,,
Cymbulia peroniii,2.4,0.35,labtroph,,,,,,
Cynoscion regalis,3.8,0.2,FB/SLB,www.fishbase.org,,,,,
Cyprinus carpio,3,0.3,FB/SLB,www.fishbase.org,,,,,
Cyttopsis rosea,4,0.66,FB/SLB,www.fishbase.org,,,,,
Dalatias licha,4.2,0.7,FB/SLB,www.fishbase.org,,,,,
Dasyatidae,3.87,0.63,,,,,,,
Dasyatis pastinaca,4.1,0.63,FB/SLB,www.fishbase.org,,,,,
Dasyatis spp,3.87,0.63,FB/SLB,www.fishbase.org,,,,,
Dasyatis violacea,4.4,0.54,FB/SLB,www.fishbase.org,,,,,
Deania calcea,4.42,0.31,Local SC,IEO analysis from Isaskun Preciado,,,,,
Deania profundorum,4.28,stomach contents,,,,,,,
Deania spp,4.35,0.35,mean,,,,,,
Decabrachia,3.5,0.35,,,,,,,
Decapoda,2.5,0.35,,,,,,,
Decapterus punctatus,4,0.01,,,,,,,
Delectopecten vitreus,2.1,0.35,labtroph,,,,,,
Deltentosteus quadrimaculatus,3.1,0.2,fishbase,,,,,,
Dendrobranchiata,3.8,0.59,,,,,,,
Dendrophyllia ramea,2.34,0.35,labtroph,,,,,,
Dendrophyllia spp,2.34,0.35,labtroph,,,,,,
Dentalium spp,2,0.35,labtroph,,,,,,
Dentex canariensis,3.6   ,0.59,,,,,,,
Dentex dentex,4.5,0.7,FB/SLB,www.fishbase.org,,,,,
Dentex gibbosus,4.1,0.59,,,,,,,
Dentex macrophthalmus,3.5,0.44,,,,,,,
Dentex maroccanus,3.9,0.61,,,,,,,
Dentex spp,4,0.7,FB/SLB,www.fishbase.org,,,,,
Diazona violacea,2,0.35,labtroph,,,,,,
Dicentrarchus labrax,4.2,0.04,Local IA,Chouvelon et al. 2012,"3.82, Lassalle et al., 2014",,,,
Dicentrarchus labrax (< 40 cm),3.6,0.04,Local IA,Chouvelon et al. 2012,,,,,
Dicentrarchus labrax (> 40 cm),4.2,0.04,Local IA,Chouvelon et al. 2012,,,,,
Dicentrarchus punctatus,4,0.1,Local IA,Chouvelon et al. 2012,"3.98, Lassalle et al., 2014",,,,
Dicentrarchus spp,4.1,0.1,Local IA,Chouvelon et al. 2012,,,,,
Dichelopandalus bonnieri,2.6,0.35,labtroph,,,,,,
Dicologlossa cuneata,3.8,0.09,Local IA,Chouvelon et al. 2012,,,,,
Dicologoglossa cuneata,3.8,0.09,local IA,Chouvelon et al. 2012,,,,,
Diogenes pugilator,2.5,0.35,labtroph,,,,,,
Diplodus annularis,3.4   ,0.4,,,,,,,
Diplodus cervinus,3,0.37,FB/SLB,www.fishbase.org,,,,,
Diplodus puntazzo,3.2,0.01,FB/SLB,www.fishbase.org,,,,,
Diplodus sargus,3.4,0.1,FB/SLB,www.fishbase.org,,,,,
Diplodus spp,3.3,0.45,FB/SLB,www.fishbase.org,,,,,
Diplodus vulgaris,3.5,0.1,FB/SLB,www.fishbase.org,,,,,
Dipturus batis,4.2,0.6,FB/SLB,www.fishbase.org,,,,,
Donax spp,2,0.35,Local modelling,Lassalle et al. 2011,,,,,
Donax trunculus,2,0.35,,,,,,,
Dosinia exoleta,2.1,0.35,labtroph,,,,,,
Dosinia spp,2.1,0.35,labtroph,,,,,,
Ebalia spp,3.2,0.35,,,,,,,
Ebalia tuberosa,3.2,0.35,,,,,,,
Echiichthys vipera,3.9,0.04,Local IA,Chouvelon et al. 2012,,,,,
Echinidae,2,0.35,labtroph,,,,,,
Echinocardium cordatum,2,0.01,FB/SLB,www.sealifebase.org,,,,,
Echinocyamus puxillus,2,0.35,labtroph,,,,,,
Echinodermata,2,0.35,labtroph,,,,,,
Echinoidea,2,0.35,labtroph,,,,,,
Echinothurioida,2,0.35,labtroph,,,,,,
Echinus acutus,2,0.35,labtroph,,,,,,
Echinus esculentus,2,0.01,FB/SLB,www.sealifebase.org,,,,,
Echinus melo,2,0.35,labtroph,,,,,,
Echiodon dentatus,3.7,0.6,fishbase,,,,,,
Echiodon drummondii,4,0.65,FB/SLB,www.fishbase.org,,,,,
Elasmobranchii,4,0.35,,,,,,,
Elasmobranchios,4,0.35,,,,,,,
Electrona risso,3.4,0.45,FB/SLB,www.fishbase.org,,,,,
Eledone cirrosa,3.3,0.04,Local IA,Chouvelon et al. 2012,,,,,
Eledone cirrhosa,3.3,0.04,Local IA,Chouvelon et al. 2012,,,,,
Eledone moschata,3.7,0.35,,,,,,,
Eledone spp,3.48,0.58,FB/SLB & Local IA,www.sealifebase.org & Chouvelon et al. 2012,,,,,
Enchelyopus cimbrius,3.5,0.2,FB/SLB,www.fishbase.org,,,,,
Engraulis encrasicolus,3.9,0.09,Local IA,Chouvelon et al. 2012,"3.74, Lassalle et al., 2014",,,,
Ensis ensis,2.1,0.01,labtroph,,,,,,
Ensis magnus,2.1,0.35,labtroph,,,,,,
Ensis siliqua,2.1,0.35,labtroph,,,,,,
Entelurus aequoreus,3.5,0.44,FB/SLB,www.fishbase.org,,,,,
Ephyrina figueirai,2.6,0.35,labtroph,,,,,,
Ephyrina spp,2.6,0.35,labtroph,,,,,,
Epigonus denticulatus,3.4,0.47,FB/SLB,www.fishbase.org,,,,,
Epigonus telescopus,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Epinephelus caninus,3.8,0.55,FB/SLB,,,,,,
Epinephelus marginatus,4.4,0.01,FB/SLB,www.fishbase.org,,,,,
Epinephelus spp,4.4,0.01,,,,,,,
Epitonium clathrus,2.37,0.35,labtroph,,,,,,
Epizoanthidae,2.34,0.35,labtroph,,,,,,
Epizoanthus incrustatus,2.34,0.35,labtroph,,,,,,
Epizoanthus spp,2.34,0.35,labtroph,,,,,,
Erythrops neapolitana,2.2,0.35,labtroph,,,,,,
Erythrops spp,2.2,0.35,labtroph,,,,,,
Etmopterus pusillus,4.2,0.4,FB/SLB,www.fishbase.org,,,,,
Etmopterus spinax, 3.8   ,0.5,FB/SLB,3.932198308,stomach contents,,,,
Etmopterus spp,4.38,0.63,FB/SLB & Local IA,www.fishbase.org & Chouvelon et al. 2012,,,,,
Eucarida,2.2,0.35,labtroph,,,,,,
Eunicidae,3.5,0.35,labtroph,,,,,,
Euphasia krohni,2.2,0.35,labtroph,,,,,,
Euphasia spp,2.2,0.35,labtroph,,,,,,
Euphausia couchii,2.2,0.35,labtroph,,,,,,
Euphausiacea,2.2,0.35,labtroph,,,,,,
Eurynome aspera,2.5,0.35,labtroph,,,,,,
Eusergestes arcticus,2.1,0.35,labtroph,,,,,,
Eusirus spp,2.285,0.35,labtroph,,,,,,
Euspira fusca,2.37,0.35,labtroph,,,,,,
Euthynnus alletteratus,4.5,0.01,FB/SLB,www.fishbase.org,,,,,
Eutrigla gurnardus,3.9,0.02,Local IA,Chouvelon et al. 2012,,,,,
Eutrigla gurnardus (?27 cm),3.87,0.03,Local SC,IEO Analysis ,,,,,
Eutrigla gurnardus (?28 cm),4.22,0.07,Local SC,IEO Analysis ,,,,,
Fucus spp,1,0.01,,,,,,,
Fucus vesiculosus,1,0.01,,,,,,,
Funiculina quadrangularis,2.34,0.35,labtroph,,,,,,
Gadiculus argenteus,3.6,0.3,FB/SLB,www.fishbase.org,,,,,
Gadidae,3.5,0.35,,,,,,,
Gadiformes,4.2,0.45,,,,,,,
Gadus macrocephalus,4.2,0.1,FB/SLB,www.fishbase.org,,,,,
Gadus morhua,4.35,0.13,Non local IA,Pinnegar et al. 2002,,,,,
Gaidropsarus biscayensis,3.6,0.3,FB/SLB,www.fishbase.org,,,,,
Gaidropsarus macrophthalmus,3.73,0.05,Local SC,IEO analysis from Isaskun Preciado,,,,,
Gaidropsarus mediterraneus,3.4,0.5,FB/SLB,www.fishbase.org,,,,,
Gaidropsarus spp,3.44,0.5,FB/SLB,www.fishbase.org,,,,,
Gaidropsarus vulgaris,3.3,0.5,FB/SLB,www.fishbase.org,,,,,
Galathea dispersa,2.6,0.35,local IA,"LeLoc'h et al., 2008",,,,,
Galathea spp,2.5,0.35,,,,,,,
Galathea strigosa,3.09,0.35,,,,,,,
Galatheidae,2.3,0.35,FB/SLB & Local IA,www.sealifebase.org & Le Loc'h et al. 2008,,,,,
Galeocerdo cuvier,4.5,0.01,,,,,,,
Galeodea rugosa,3.93,0.14,FB/SLB,www.sealifebase.org,,,,,
Galeorhinus galeus,4.88,0.14,Non local IA,Pinnegar et al. 2002,,,,,
Galeus atlanticus,4,0.2,FB/SLB,www.fishbase.org,3.992346744,stomach contents,,,
Galeus melastomus,4.04,0.04,Local SC,IEO analysis from Isaskun Preciado,,,,,
Galeus spp,4.04,0.04,,,,,,,
Gammaridae,2.285,0.35,,,,,,,
Gammaropsis spp,2.285,0.35,,,,,,,
Gasteropteron meckeli,2.37,0.35,labtroph,,,,,,
Gastropoda,3.09,0.35,,,,,,,
Gastrosaccus spp,2.2,0.35,,,,,,,
Gelidium spp,1,0.01,,,,,,,
Gempylidae,4.25,0.71,FB/SLB,www.fishbase.org,,,,,
Geodidae,2,0.35,labtroph,,,,,,
Geryon longipes,2.6,0.35,,,,,,,
Geryon trispinosus,2.6,0.35,,,,,,,
Geryonidae,2.6,0.35,,,,,,,
Gibbula spp,3.2,0.35,,,,,,,
Gibbula umbilicalis,2.37,0.35,,,,,,,
Glycera spp,3.7,0.35,,,,,,,
